drug,author,herb_part,bot_name,disease_category,taste,potency,ultimate_taste,inherent_action
Naaval nei ,Agathiyar,Pattai ,Syzygium cumini,Diab/ TB ,Astringent ,Cold ,Spicy ,Pothu-thuvarpi
Naaval nei ,Agathiyar,samoolam ,Oxalis corniculata,Diab/ TB ,Sour,Cold ,Sweet,"Pasitheethundi,Kulirchiyundaki,Thuvarpi"
Naaval nei ,Agathiyar,,Thayir (curd),Diab/ TB ,null,null,null,null
Naaval nei ,Agathiyar,,Nei ,Diab/ TB ,null,null,null,null
Naaval nei ,Agathiyar,,Saccharum officinarum,Diab/ TB ,Sweet,Cold ,Sweet,"Ulalalatri,Alugalatri,Kulirchiyundaki,Sirukalichalundaki,Siruneerperuki,Udaluramaki"
Naaval nei ,Agathiyar,flower,Aegle marmelos,Diab/ TB ,"Astringent, Bitter ",Cold ,Spicy ,"viyarvaiperuki,kamamperuki,veppagatri"
Naaval nei ,Agathiyar,,Glycyrrhiza glabra,Diab/ TB ,Sweet ,Cold ,Sweet,"Varatchiyakatri,Ullalagatri,kollaiyagatri,Malamilaki,Uramaki"
Naaval nei ,Agathiyar,,Elettaria cardamomum,Diab/ TB ,Pungent,Hot,Spicy ,"Vepamundaki,Agatuvaiyagatri,Pasitheethundi"
Naaval nei ,Agathiyar,,Costus speciosus,Diab/ TB ,"Bitter , Viruvirupu",Hot,Spicy ,"Pasitheethundi,Kollaiyagatri,Uramaki,Vepammundaki,Viyarvaiperuki"
Naaval nei ,Agathiyar,,Syzygium aromaticum,Diab/ TB ,"pungent , Viruvirupu",Hot,Spicy ,"Esivagatri,Agatuvaiyagatri,Pasitheethundi"
Naaval nei ,Agathiyar,,Symplocos racemosa,Diab/ TB ,Astringent ,Cold ,Sweet,"siruthuvarpi,kulirchiundaki,nachheri"
Naaval nei ,Agathiyar,,Nelumbo nucifera,Diab/ TB ,"sweet, Astringent",Cold ,Sweet,"kulirchiundaki,Thuvarpi,kolaiagatri,thathuveppagatri."
Naaval nei ,Agathiyar,,Anacardium occidentale,Diab/ TB ,sweet ,Cold ,Sweet,"siruneerperuki,veppamundaki"
Naaval nei ,Agathiyar,,Wrightia - tinctoria,Diab/ TB ,"Astringent, sweet, mildBitter ",Hot,Spicy ,null
